age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
52,1,F,African-American,Male,7,3,0
32,0,F,African-American,Female,5,-1,1
35,1,M,African-American,Male,17,2,1
25,0,F,Other,Female,5,0,1
23,1,F,Other,Male,1,19,1
28,0,F,Other,Male,6,2,1
21,1,F,African-American,Male,0,6,0
29,0,F,African-American,Male,7,2,1
20,0,F,African-American,Male,1,0,1
42,0,F,African-American,Male,5,2,1
27,0,M,African-American,Male,5,0,1
37,0,F,African-American,Female,1,8,1
69,0,M,Other,Male,0,0,1
21,0,F,African-American,Male,0,13,1
33,0,F,African-American,Female,1,0,1
31,0,M,Other,Male,0,1,1
46,0,F,Other,Male,2,1,1
36,1,F,Other,Female,6,0,1
51,1,F,African-American,Male,12,0,0
45,1,F,Other,Female,1,1,1
32,1,F,African-American,Male,7,37,0
21,0,M,African-American,Female,0,0,1
41,0,F,Other,Male,3,1,1
43,0,F,Other,Male,3,1,1
60,0,F,Other,Male,4,1,1
35,0,F,African-American,Male,0,0,1
46,0,F,African-American,Male,2,0,0
38,0,M,African-American,Male,7,197,1
21,1,F,African-American,Male,2,28,1
65,1,F,Other,Male,1,0,1
30,0,M,Other,Male,0,0,1
53,0,F,African-American,Female,3,2,1
34,0,F,African-American,Male,12,34,1
38,0,M,African-American,Female,0,1,1
37,1,F,Other,Male,8,0,1
40,0,F,African-American,Male,21,29,1
28,0,M,Other,Female,1,0,1
23,0,F,Other,Male,3,9,1
28,1,M,Other,Male,0,2,1
31,1,F,Other,Male,8,117,0
22,1,F,African-American,Male,1,1,1
30,0,M,Other,Male,0,0,1
26,1,F,African-American,Male,1,4,0
42,0,F,Other,Female,0,281,1
23,0,M,Other,Male,1,9,1
26,1,M,Other,Male,10,0,0
25,1,M,Other,Male,0,21,1
47,0,M,Other,Male,1,1,1
21,1,F,African-American,Male,0,1,0
29,0,F,Other,Male,2,1,1
23,0,F,African-American,Male,3,1,1
26,1,F,African-American,Female,5,33,1
34,1,M,Other,Male,2,1,1
30,0,M,African-American,Male,0,0,1
37,0,F,Other,Male,5,1,1
22,0,F,African-American,Male,1,4,0
21,0,F,Other,Male,3,22,1
26,0,F,African-American,Male,4,0,0
22,1,F,African-American,Male,6,2,1
36,1,F,African-American,Female,5,0,1
49,0,M,Other,Male,2,1,1
72,0,M,Other,Male,1,1,1
21,0,F,Other,Male,0,7,0
39,0,M,Other,Female,0,0,1
54,0,M,Other,Female,0,0,1
61,0,M,Other,Female,1,-1,1
32,0,F,Other,Male,0,0,1
37,0,M,Other,Female,0,0,1
35,0,F,African-American,Male,2,5,1
37,0,M,African-American,Male,2,0,1
51,0,F,African-American,Male,3,0,1
48,0,F,Other,Female,0,1,1
44,0,M,African-American,Male,0,0,1
32,0,M,African-American,Male,0,0,1
56,0,F,Other,Male,1,35,1
33,0,F,Other,Male,0,0,1
23,1,F,African-American,Male,2,6,0
67,0,F,Other,Male,3,1,1
56,1,M,Other,Male,10,13,1
24,1,F,African-American,Male,2,1,1
53,0,M,Other,Male,0,-1,1
35,0,F,Other,Male,2,1,1
41,0,F,Other,Male,0,1,1
24,1,M,African-American,Female,2,14,1
30,1,M,Other,Female,3,1,1
39,0,F,Other,Male,5,18,1
33,0,M,Other,Female,2,2,1
36,0,M,Other,Male,0,-1,1
45,0,F,Other,Male,3,1,1
23,1,F,African-American,Male,3,91,0
24,1,F,African-American,Female,4,2,1
31,1,F,African-American,Male,4,24,0
37,0,F,Other,Female,1,1,1
26,1,F,African-American,Male,1,0,1
30,0,M,African-American,Male,5,1,0
42,1,M,Other,Female,4,0,1
26,1,F,Other,Male,1,8,1
27,0,F,African-American,Male,1,3,1
24,1,M,African-American,Male,2,24,0
22,1,F,Other,Male,3,2,1
31,1,F,African-American,Male,6,31,0
27,0,M,African-American,Male,3,37,1
33,1,F,African-American,Female,7,26,0
96,1,F,Other,Male,2,0,1
47,1,F,Other,Female,1,14,1
36,0,M,Other,Male,2,0,1
30,1,M,African-American,Male,4,1,1
20,1,F,Other,Male,3,42,0
29,0,F,Other,Male,0,1,1
36,0,M,African-American,Female,1,0,1
31,1,M,Other,Male,3,1,1
21,0,F,Other,Male,1,11,1
54,1,M,Other,Male,3,2,1
29,1,F,Other,Male,0,1,1
47,0,F,African-American,Male,3,1,1
28,1,M,Other,Female,0,0,1
22,0,F,African-American,Male,3,0,0
48,0,M,Other,Female,0,0,1
31,0,M,African-American,Male,5,0,1
29,1,F,African-American,Male,17,1,0
46,1,F,African-American,Male,5,2,1
35,1,F,African-American,Male,1,1,1
25,1,F,African-American,Male,5,155,0
33,1,F,Other,Male,3,14,0
23,1,M,Other,Male,3,26,0
21,1,M,African-American,Male,5,1,1
20,1,F,Other,Male,2,192,0
24,0,F,Other,Female,1,3,1
20,1,M,African-American,Male,0,1,1
48,1,F,Other,Male,20,46,0
46,1,F,African-American,Male,10,9,1
51,0,M,Other,Male,0,-1,1
21,0,F,African-American,Male,2,36,0
23,0,M,Other,Male,0,0,1
27,1,F,Other,Male,2,0,1
33,1,M,African-American,Male,7,1,1
25,1,M,African-American,Male,0,4,1
48,0,F,Other,Male,1,0,1
21,0,F,African-American,Male,1,-1,1
40,0,M,Other,Male,1,1,1
48,0,F,African-American,Female,1,0,1
23,0,F,African-American,Male,0,1,1
47,1,F,Other,Male,1,0,1
41,1,F,African-American,Male,18,299,1
26,1,F,African-American,Male,1,0,0
23,1,F,Other,Male,0,18,0
21,1,F,African-American,Male,0,0,0
36,0,F,Other,Male,1,0,1
29,1,M,African-American,Male,2,2,1
25,1,F,Other,Male,9,0,0
27,1,F,African-American,Male,12,31,0
50,1,F,Other,Male,5,11,1
32,1,F,African-American,Male,10,0,1
45,0,M,African-American,Male,20,46,1
27,1,M,Other,Female,0,0,0
33,1,F,African-American,Male,0,0,1
24,1,F,African-American,Male,0,1,0
23,1,F,African-American,Female,0,2,1
26,0,F,African-American,Male,1,1,1
23,0,F,African-American,Male,1,2,1
25,1,F,African-American,Male,3,1,1
45,1,F,Other,Male,1,5,1
36,1,F,African-American,Female,1,6,1
31,1,F,Other,Male,4,29,0
30,0,F,African-American,Female,4,0,1
41,1,F,Other,Male,0,1,1
44,1,F,African-American,Female,11,15,0
26,0,M,African-American,Male,2,2,1
34,1,F,African-American,Male,11,0,0
48,0,F,Other,Male,1,21,1
30,1,F,African-American,Male,12,-1,0
44,1,M,Other,Male,0,1,1
31,0,F,African-American,Male,6,25,1
42,0,F,African-American,Male,1,4,1
23,1,F,Other,Male,0,0,1
44,1,F,African-American,Male,0,0,1
38,0,F,African-American,Male,0,1,1
43,0,F,Other,Male,9,0,1
54,0,M,Other,Female,1,4,1
51,1,F,Other,Male,1,0,1
23,1,F,African-American,Male,1,9,0
52,0,M,Other,Male,0,0,1
27,1,F,Other,Female,5,1,1
29,0,F,African-American,Male,0,72,1
21,1,F,Other,Male,1,0,1
45,1,F,African-American,Male,0,1,1
46,0,F,Other,Male,0,0,1
31,1,M,Other,Female,1,10,1
32,0,F,African-American,Male,4,108,1
25,1,F,African-American,Male,7,20,0
33,1,F,African-American,Male,3,11,1
20,1,F,African-American,Male,2,2,0
50,1,M,Other,Female,0,0,1
25,0,F,Other,Male,4,1,1
27,1,M,African-American,Male,5,0,1
34,0,M,Other,Male,0,1,1
35,0,F,African-American,Female,2,1,1
41,1,F,African-American,Male,12,0,1
39,0,F,Other,Male,6,0,1
21,0,F,Other,Male,0,1,1
41,0,M,Other,Male,0,0,1
25,0,F,African-American,Male,1,0,1
27,1,F,African-American,Male,5,0,0
32,0,M,Other,Female,0,10,1
22,0,F,African-American,Female,0,-1,1
31,1,M,African-American,Female,3,0,1
47,1,M,Other,Male,3,12,1
23,1,F,African-American,Female,0,1,1
38,0,F,Other,Male,3,0,1
21,1,F,African-American,Male,3,6,0
27,1,M,African-American,Male,8,0,1
27,1,M,African-American,Male,0,1,1
35,0,F,Other,Male,5,0,1
33,1,F,Other,Male,9,49,0
32,0,F,Other,Female,1,0,1
45,1,F,African-American,Male,0,0,1
36,1,F,African-American,Male,3,1,1
31,1,M,African-American,Male,1,0,1
51,0,M,Other,Female,2,0,1
40,1,F,Other,Female,7,6,1
35,1,F,African-American,Male,5,1,1
25,1,F,African-American,Male,0,2,1
30,1,F,Other,Male,5,62,1
56,0,M,African-American,Male,1,0,1
30,1,M,Other,Female,2,1,1
28,1,F,African-American,Male,25,25,0
27,1,F,Other,Male,6,1,1
27,1,M,Other,Male,2,1,1
33,1,M,Other,Male,5,1,1
34,0,M,African-American,Male,4,0,1
41,1,F,African-American,Male,3,1,1
29,1,F,African-American,Male,8,2,0
43,0,M,African-American,Female,0,1,1
36,1,M,Other,Male,2,2,1
35,1,M,Other,Male,3,1,1
26,1,M,African-American,Male,6,3,0
47,0,F,African-American,Male,20,1,0
60,0,F,Other,Male,0,0,1
28,1,M,Other,Male,4,1,1
20,0,F,African-American,Male,1,1,1
25,1,M,African-American,Male,6,0,1
30,1,F,Other,Male,13,1,0
22,1,F,African-American,Male,0,1,1
42,0,M,Other,Male,1,0,1
60,0,F,Other,Male,0,1,1
32,1,M,African-American,Female,0,1,1
23,0,F,Other,Male,0,0,1
36,1,M,Other,Male,3,45,1
39,1,F,Other,Male,16,35,0
24,0,M,African-American,Male,1,1,1
43,1,M,Other,Female,3,1,1
20,1,F,Other,Male,0,3,1
21,1,F,African-American,Male,1,1,1
21,1,M,Other,Female,3,1,1
29,0,F,Other,Male,0,0,1
30,0,M,African-American,Male,1,1,1
67,0,F,Other,Male,0,0,1
48,0,F,Other,Male,7,0,1
30,0,M,African-American,Female,2,0,1
37,1,F,African-American,Male,6,0,1
21,0,F,Other,Male,1,12,0
64,0,F,Other,Female,1,1,1
30,1,F,African-American,Male,5,2,0
39,0,F,Other,Female,0,1,1
20,0,F,Other,Male,0,0,1
31,1,M,African-American,Male,11,1,1
23,0,F,Other,Male,0,1,1
35,0,M,African-American,Female,1,0,1
54,1,F,African-American,Male,28,5,0
43,1,F,African-American,Male,18,9,1
26,1,F,African-American,Female,1,1,1
26,1,M,Other,Male,4,293,1
21,1,F,Other,Male,0,0,1
42,1,F,Other,Male,4,17,1
22,0,M,Other,Male,1,24,1
36,0,M,African-American,Female,1,1,1
35,0,F,Other,Male,1,1,1
25,1,F,Other,Male,2,0,1
28,0,F,African-American,Female,3,16,1
54,0,F,Other,Male,1,2,1
55,1,F,Other,Male,8,6,1
37,1,F,Other,Male,2,1,1
26,1,F,African-American,Male,5,36,0
22,0,F,Other,Male,0,0,1
22,0,F,Other,Male,1,236,1
26,1,F,Other,Male,2,0,0
42,0,M,Other,Male,0,4,1
24,0,F,African-American,Female,3,0,0
49,0,F,Other,Male,0,-1,1
30,1,F,African-American,Female,9,243,0
25,1,M,African-American,Male,1,0,1
26,0,M,African-American,Male,1,0,1
26,1,M,African-American,Male,8,26,1
26,1,M,African-American,Male,1,0,1
34,0,M,Other,Male,0,0,1
34,1,F,Other,Male,0,1,1
23,0,F,African-American,Male,0,1,1
24,1,M,African-American,Male,3,0,1
32,0,F,African-American,Female,5,1,1
25,1,F,African-American,Male,4,0,0
21,0,M,Other,Male,2,27,0
27,0,F,African-American,Male,2,0,1
23,0,M,African-American,Female,1,0,1
22,1,M,African-American,Male,0,21,0
20,1,F,African-American,Male,1,6,1
26,1,F,African-American,Male,2,2,1
65,0,F,Other,Female,1,1,1
58,0,F,African-American,Male,1,60,1
31,1,M,African-American,Male,5,0,0
57,0,F,Other,Male,3,1,1
69,0,M,Other,Male,0,0,1
42,1,F,African-American,Male,14,1,1
21,1,M,African-American,Female,1,1,1
23,1,F,Other,Male,11,3,0
42,1,M,African-American,Male,10,0,1
30,1,F,African-American,Male,13,2,0
60,0,F,Other,Male,4,6,1
30,0,M,Other,Male,0,0,1
36,1,F,African-American,Female,13,33,0
32,1,F,African-American,Male,4,1,1
37,1,M,Other,Male,1,0,1
27,1,M,African-American,Male,6,1,1
28,1,F,African-American,Male,16,1,0
65,0,F,Other,Female,0,0,1
47,0,M,African-American,Male,0,3,1
38,1,F,Other,Female,5,41,1
38,1,M,African-American,Male,16,33,0
51,0,F,Other,Male,0,1,1
36,1,M,African-American,Male,2,46,0
32,0,M,African-American,Female,3,1,1
25,0,M,African-American,Female,0,0,1
37,0,M,Other,Male,0,0,1
51,1,F,African-American,Male,0,2,1
43,0,M,Other,Male,0,0,1
23,0,F,Other,Male,0,2,0
37,0,M,Other,Male,3,0,1
39,0,M,Other,Male,0,0,1
23,0,F,Other,Male,2,0,1
29,0,M,Other,Male,0,0,1
27,0,M,Other,Male,0,1,1
42,0,M,African-American,Female,2,34,1
19,1,M,Other,Male,0,2,1
20,1,F,African-American,Male,0,0,0
32,0,F,Other,Male,1,15,1
35,0,M,African-American,Female,0,0,1
32,0,M,African-American,Male,0,0,1
23,1,M,Other,Male,4,7,1
34,1,F,African-American,Female,1,116,1
29,0,M,African-American,Male,2,0,1
37,1,F,Other,Male,0,0,1
29,0,F,African-American,Male,0,1,1
26,0,M,Other,Female,0,0,1
21,0,F,African-American,Male,2,1,0
64,0,F,African-American,Male,0,4,1
34,1,F,Other,Male,4,31,1
19,1,M,Other,Male,0,2,0
40,0,M,Other,Female,0,2,1
47,1,M,Other,Female,0,4,1
33,1,F,African-American,Male,14,2,0
27,0,F,Other,Male,1,5,1
35,1,F,African-American,Male,6,0,0
25,1,F,African-American,Male,4,0,1
25,0,F,African-American,Female,1,0,1
41,0,M,Other,Male,0,0,1
65,0,M,Other,Female,0,1,1
26,0,M,African-American,Male,1,7,1
28,0,F,Other,Male,0,0,1
35,1,F,African-American,Male,23,1,0
31,0,F,Other,Male,0,1,1
45,0,M,Other,Male,1,-1,1
31,1,F,African-American,Male,5,11,1
32,0,M,African-American,Male,2,1,1
31,0,M,Other,Male,6,10,1
35,1,M,African-American,Male,10,0,0
30,0,F,Other,Male,7,1,0
34,0,F,Other,Male,0,108,1
47,0,F,Other,Male,1,1,1
35,1,F,African-American,Male,12,0,0
39,1,F,African-American,Male,3,34,1
28,1,F,African-American,Male,7,1,1
59,0,F,Other,Female,1,5,1
49,0,M,Other,Female,1,0,1
20,1,M,Other,Male,3,1,1
26,0,M,Other,Female,1,0,1
21,1,F,African-American,Male,0,1,0
24,1,M,African-American,Male,9,4,0
28,0,M,Other,Male,2,1,1
24,0,M,African-American,Female,0,2,1
51,0,M,African-American,Male,2,1,1
23,0,M,Other,Female,0,1,0
45,0,M,Other,Male,0,2,1
25,1,M,African-American,Male,11,531,0
49,0,F,Other,Male,0,1,1
21,1,F,African-American,Male,1,20,1
32,0,F,African-American,Male,0,-1,1
23,0,F,African-American,Female,0,1,1
36,1,F,Other,Male,4,1,1
51,0,F,Other,Male,2,1,1
20,1,M,African-American,Male,0,2,1
43,0,F,Other,Male,8,1,1
48,0,M,African-American,Female,0,9,1
56,0,F,African-American,Male,1,2,1
24,1,M,African-American,Male,2,1,1
50,0,F,African-American,Male,11,2,0
58,0,F,Other,Male,1,79,1
29,1,F,African-American,Male,1,1,1
27,1,F,African-American,Male,12,1,0
35,1,F,African-American,Male,10,22,1
53,1,F,Other,Male,9,117,1
26,0,F,African-American,Male,0,1,1
74,0,M,Other,Male,0,0,1
25,0,F,Other,Male,1,1,1
44,1,F,Other,Male,6,2,1
51,1,F,Other,Male,8,1,1
47,1,F,Other,Male,1,81,1
40,1,F,Other,Female,4,5,1
57,0,M,Other,Male,12,3,1
44,0,F,African-American,Male,0,3,1
36,0,F,Other,Male,2,0,1
26,1,F,African-American,Male,1,22,1
45,0,M,Other,Female,0,0,1
19,1,F,African-American,Female,1,2,1
37,1,F,African-American,Male,22,81,0
36,1,F,African-American,Female,1,0,1
30,1,F,African-American,Male,11,2,0
20,1,M,African-American,Female,0,-1,1
30,1,M,Other,Male,1,1,1
42,1,F,Other,Male,2,1,1
22,1,M,African-American,Male,3,1,0
54,1,F,African-American,Male,10,0,1
31,1,M,Other,Male,3,0,1
55,0,M,Other,Male,1,1,1
33,0,F,Other,Male,0,1,1
30,0,M,Other,Male,7,37,1
21,0,F,African-American,Male,0,1,1
56,0,M,Other,Male,4,0,1
23,1,M,Other,Male,1,0,1
59,1,M,Other,Male,2,0,1
66,1,M,Other,Male,0,0,1
35,0,F,Other,Male,0,2,1
32,0,F,Other,Male,6,0,0
39,0,M,Other,Male,0,0,1
25,0,F,African-American,Male,0,0,1
21,0,F,African-American,Female,0,77,0
23,0,M,Other,Male,0,0,1
23,0,M,African-American,Male,0,0,1
28,1,F,African-American,Male,5,51,1
24,0,F,African-American,Male,3,75,0
38,0,M,African-American,Male,4,0,1
24,0,M,African-American,Male,0,0,1
32,0,F,Other,Male,4,-1,1
24,1,F,African-American,Male,6,1,1
49,0,F,African-American,Female,0,1,1
23,0,F,African-American,Male,1,1,1
57,0,F,African-American,Male,1,1,1
33,0,M,Other,Male,1,1,1
31,0,M,Other,Male,3,0,1
61,0,M,Other,Male,0,0,1
28,1,M,African-American,Female,6,2,1
28,0,F,Other,Male,0,1,1
41,0,M,African-American,Male,0,0,1
28,1,M,Other,Male,3,0,1
25,1,F,African-American,Male,3,0,0
26,1,M,African-American,Male,0,0,1
28,0,F,African-American,Male,4,1,1
22,0,F,Other,Male,1,11,1
27,1,M,African-American,Male,0,2,1
67,0,M,Other,Male,0,0,1
36,1,F,African-American,Male,16,8,0
37,1,M,Other,Male,1,1,1
35,0,F,Other,Male,0,1,1
59,0,M,Other,Male,1,0,1
47,1,M,African-American,Female,21,21,0
48,0,M,Other,Male,1,5,1
23,0,F,African-American,Female,0,0,1
48,1,F,African-American,Male,14,142,0
45,0,M,Other,Male,1,1,1
46,1,F,Other,Male,5,-1,0
35,0,F,Other,Male,2,0,1
29,1,F,African-American,Male,6,39,0
39,0,F,Other,Female,1,106,1
31,1,M,Other,Male,0,0,1
20,1,M,Other,Male,0,0,1
40,0,F,Other,Female,0,1,1
41,0,F,African-American,Male,8,1,1
26,0,F,African-American,Male,1,1,1
31,1,F,African-American,Male,16,0,0
46,0,F,Other,Male,4,2,1
35,1,F,Other,Male,1,49,1
24,1,F,Other,Male,1,0,0
21,1,F,African-American,Male,1,49,0
21,1,F,African-American,Male,0,42,1
30,1,F,African-American,Male,7,0,1
32,0,F,African-American,Male,0,2,1
39,1,F,Other,Male,0,2,1
24,1,M,African-American,Male,12,36,0
32,1,M,African-American,Male,9,23,1
42,1,F,Other,Female,4,4,0
33,0,F,African-American,Male,1,0,1
57,0,F,Other,Male,0,-1,1
21,1,F,African-American,Male,7,10,0
35,0,M,African-American,Male,1,1,1
29,0,F,African-American,Male,0,0,1
20,1,F,Other,Male,2,52,0
35,0,F,African-American,Male,2,-1,1
66,0,M,Other,Male,0,1,1
32,1,F,Other,Male,2,0,1
28,1,F,African-American,Male,18,0,0
26,1,F,African-American,Male,2,148,1
30,1,F,African-American,Male,1,1,1
41,0,M,Other,Male,0,0,1
26,1,F,African-American,Male,10,0,0
36,0,M,African-American,Male,6,0,1
44,1,F,Other,Female,3,11,1
21,0,F,African-American,Male,1,2,1
24,0,M,Other,Male,3,1,1
26,1,F,African-American,Male,20,43,0
55,1,M,Other,Male,0,30,1
23,1,F,African-American,Male,0,0,1
54,0,M,Other,Female,1,3,1
34,1,F,African-American,Male,0,2,0
46,1,F,Other,Male,0,0,1
34,0,M,Other,Male,1,0,1
32,1,F,African-American,Male,3,8,1
28,0,F,Other,Male,1,8,1
46,0,F,Other,Male,2,7,1
35,0,F,Other,Male,12,10,0
28,0,F,Other,Male,3,50,1
20,1,M,African-American,Female,0,4,1
20,1,F,Other,Male,0,1,1
33,0,M,Other,Male,0,0,1
30,1,M,African-American,Male,4,1,1
31,0,F,African-American,Male,1,1,1
21,0,M,Other,Male,0,1,1
33,1,F,African-American,Male,3,7,1
36,1,F,African-American,Male,2,47,1
24,1,F,African-American,Male,3,1,1
24,1,M,African-American,Male,2,506,0
28,1,M,Other,Male,2,1,1
42,0,F,Other,Male,6,-1,1
27,1,F,African-American,Male,9,0,0
45,0,M,Other,Male,0,1,1
33,1,M,African-American,Male,8,0,1
53,0,M,African-American,Male,13,1,1
27,0,M,Other,Male,5,2,1
20,1,F,African-American,Female,2,23,0
21,1,F,Other,Male,1,36,1
49,0,F,Other,Male,0,73,1
31,0,M,African-American,Male,1,-1,1
21,1,F,African-American,Male,1,0,0
30,1,F,African-American,Female,14,5,0
28,0,M,Other,Male,0,2,1
53,0,M,Other,Male,0,0,1
32,0,F,Other,Male,7,1,1
30,0,F,African-American,Male,0,1,1
64,1,M,African-American,Male,8,0,1
33,0,M,African-American,Male,0,0,1
31,0,M,Other,Male,0,1,1
19,1,M,African-American,Male,1,9,1
33,0,F,Other,Male,0,1,1
57,0,F,Other,Male,0,4,1
21,0,F,Other,Male,1,0,1
43,1,F,African-American,Male,8,1,1
28,0,M,African-American,Male,5,1,0
61,0,M,African-American,Male,1,2,1
65,0,M,African-American,Male,7,0,1
30,1,F,African-American,Male,3,2,1
55,1,F,African-American,Male,5,118,1
37,1,F,African-American,Male,23,1,0
38,1,F,Other,Male,1,0,1
42,0,F,Other,Male,1,1,1
33,1,M,Other,Male,0,0,1
36,0,F,African-American,Male,2,1,1
33,0,M,African-American,Female,3,1,1
31,1,F,Other,Female,2,27,1
27,1,F,Other,Female,6,1,1
33,0,M,Other,Female,1,0,1
52,0,F,Other,Male,1,3,1
56,0,F,African-American,Male,0,6,1
58,1,F,Other,Male,7,185,1
48,1,F,Other,Male,0,68,0
28,1,F,African-American,Male,7,1,1
27,1,F,Other,Male,2,6,1
43,0,F,African-American,Female,0,-1,1
23,1,F,African-American,Male,0,0,1
28,0,F,Other,Female,0,1,1
22,1,M,African-American,Male,1,4,1
53,1,F,Other,Female,4,0,1
40,0,M,Other,Female,0,1,1
44,0,M,Other,Male,0,0,1
45,0,F,African-American,Male,11,0,1
50,0,F,African-American,Male,1,0,1
24,0,F,African-American,Male,1,0,1
32,0,F,Other,Female,1,2,1
27,1,M,African-American,Female,3,0,1
32,1,F,Other,Male,15,70,0
30,1,F,Other,Male,13,33,0
27,0,F,African-American,Male,0,-1,1
46,1,F,Other,Male,0,0,1
45,0,M,African-American,Male,4,3,1
29,1,F,African-American,Male,3,-1,1
